== table ==
29,47,37,14,14,37,47,29
64,0,14,25,25,14,0,64
28,45,50,32,32,50,45,28
29,29,-36,50,50,-36,29,29
29,29,-36,50,50,-36,29,29
28,45,50,32,32,50,45,28
64,0,14,25,25,14,0,64
29,47,37,14,14,37,47,29
== table ==
38,63,9,36,36,9,63,38
26,8,75,70,70,75,8,26
40,13,17,9,9,17,13,40
13,25,18,29,29,18,25,13
13,25,18,29,29,18,25,13
40,13,17,9,9,17,13,40
26,8,75,70,70,75,8,26
38,63,9,36,36,9,63,38
== table ==
73,52,63,27,27,63,52,73
-5,-5,87,37,37,87,-5,-5
17,18,59,51,51,59,18,17
59,-8,-15,8,8,-15,-8,59
59,-8,-15,8,8,-15,-8,59
17,18,59,51,51,59,18,17
-5,-5,87,37,37,87,-5,-5
73,52,63,27,27,63,52,73
== table ==
2,14,57,72,72,57,14,2
45,30,5,39,39,5,30,45
17,48,49,63,63,49,48,17
30,40,7,-5,-5,7,40,30
30,40,7,-5,-5,7,40,30
17,48,49,63,63,49,48,17
45,30,5,39,39,5,30,45
2,14,57,72,72,57,14,2
== table ==
37,17,8,19,19,8,17,37
-1,16,-11,-4,-4,-11,16,-1
-24,15,9,22,22,9,15,-24
16,35,45,45,45,45,35,16
16,35,45,45,45,45,35,16
-24,15,9,22,22,9,15,-24
-1,16,-11,-4,-4,-11,16,-1
37,17,8,19,19,8,17,37
