-15,31,34,39,39,34,31,-15
39,73,75,-23,-23,75,73,39
-4,28,46,59,59,46,28,-4
58,118,14,29,29,14,118,58
58,118,14,29,29,14,118,58
-4,28,46,59,59,46,28,-4
39,73,75,-23,-23,75,73,39
-15,31,34,39,39,34,31,-15
-50,-39,-24,-20,-20,-24,-39,-50
73,92,68,66,66,68,92,73
69,63,96,12,12,96,63,69
11,75,56,44,44,56,75,11
11,75,56,44,44,56,75,11
69,63,96,12,12,96,63,69
73,92,68,66,66,68,92,73
-50,-39,-24,-20,-20,-24,-39,-50
57,34,16,24,24,16,34,57
8,29,89,48,48,89,29,8
53,61,54,14,14,54,61,53
88,91,55,78,78,55,91,88
88,91,55,78,78,55,91,88
53,61,54,14,14,54,61,53
8,29,89,48,48,89,29,8
57,34,16,24,24,16,34,57
48,48,71,66,66,71,48,48
59,9,90,66,66,90,9,59
85,50,-9,12,12,-9,50,85
0,-67,-21,59,59,-21,-67,0
0,-67,-21,59,59,-21,-67,0
85,50,-9,12,12,-9,50,85
59,9,90,66,66,90,9,59
48,48,71,66,66,71,48,48
-35,-40,-60,-44,-44,-60,-40,-35
-75,-51,-85,58,58,-85,-51,-75
57,18,-1,42,42,-1,18,57
16,-3,16,37,37,16,-3,16
16,-3,16,37,37,16,-3,16
57,18,-1,42,42,-1,18,57
-75,-51,-85,58,58,-85,-51,-75
-35,-40,-60,-44,-44,-60,-40,-35
