58,18,49,85,85,49,18,58
85,39,15,42,42,15,39,85
-39,-9,25,38,38,25,-9,-39
37,8,64,52,52,64,8,37
37,8,64,52,52,64,8,37
-39,-9,25,38,38,25,-9,-39
85,39,15,42,42,15,39,85
58,18,49,85,85,49,18,58
79,35,35,22,22,35,35,79
64,-10,8,8,8,8,-10,64
32,24,-1,19,19,-1,24,32
23,5,28,31,31,28,5,23
23,5,28,31,31,28,5,23
32,24,-1,19,19,-1,24,32
64,-10,8,8,8,8,-10,64
79,35,35,22,22,35,35,79
36,56,50,59,59,50,56,36
22,16,63,1,1,63,16,22
17,51,14,3,3,14,51,17
12,35,31,38,38,31,35,12
12,35,31,38,38,31,35,12
17,51,14,3,3,14,51,17
22,16,63,1,1,63,16,22
36,56,50,59,59,50,56,36
59,74,46,90,90,46,74,59
47,39,57,46,46,57,39,47
88,74,8,70,70,8,74,88
7,-29,92,84,84,92,-29,7
7,-29,92,84,84,92,-29,7
88,74,8,70,70,8,74,88
47,39,57,46,46,57,39,47
59,74,46,90,90,46,74,59
94,34,26,42,42,26,34,94
49,51,79,42,42,79,51,49
70,36,65,-14,-14,65,36,70
-16,-2,56,50,50,56,-2,-16
-16,-2,56,50,50,56,-2,-16
70,36,65,-14,-14,65,36,70
49,51,79,42,42,79,51,49
94,34,26,42,42,26,34,94
